1,,
Time (s),Intensity (a.u.),
35.18125153,50.26860809,
35.19375229,49.63805389,
35.20624924,47.96194077,
35.21875,50.55312347,
35.23125076,49.31577682,
35.24375153,51.69063568,
35.25625229,49.09560776,
35.26874924,44.27460861,
35.28125,49.43557739,
35.29375076,48.15470123,
35.30625153,51.18060303,
35.31875229,49.65179443,
35.33124924,49.05757523,
35.34375,50.69839478,
35.35625076,46.12403107,
35.36875153,47.67457199,
35.38125229,50.38010788,
35.39374924,49.08368683,
35.40625,50.67698288,
35.41875076,51.98973083,
35.43125153,47.50320053,
35.44375229,51.628685,
35.45624924,46.81016541,
35.46875,48.88375854,
35.48125076,48.78995514,
35.49375153,46.81967163,
35.50625229,48.98169708,
35.51874924,47.16981125,
35.53125,48.58036041,
35.54375076,45.46609116,
35.55625153,48.70545959,
35.56875229,50.063694,
35.58124924,50.56323624,
35.59375,49.49205399,
35.60625076,48.91864395,
35.61875153,47.62511444,
35.63125229,49.95550919,
35.64374924,48.51921844,
35.65625,50.74927521,
35.66875076,47.86280823,
35.68125153,48.04843521,
35.69375229,51.33444214,
35.70624924,50.25640869,
35.71875,45.68074799,
35.73125076,47.21084976,
35.74375153,48.60406113,
35.75625229,48.69388962,
35.76874924,49.19077301,
35.78125,48.08784485,
35.79375076,50.48859787,
35.80625153,50.32961273,
35.81875229,50.98287582,
35.83124924,49.27124786,
35.84375,51.19629669,
35.85625076,48.86469269,
35.86875153,51.56108475,
35.88125229,51.32152939,
35.89374924,48.58612061,
35.90625,46.91894913,
35.91875076,48.16632462,
35.93125153,51.191082,
35.94375229,52.67264938,
35.95624924,50.67350769,
35.96875,50.99959183,
35.98125076,51.47906494,
35.99375153,52.83307648,
36.00625229,49.59630966,
36.01874924,50.91701889,
36.03125,47.45503235,
36.04375076,49.64998627,
36.05625153,50.89390564,
36.06875229,48.85435867,
36.08124924,54.86155701,
36.09375,50.22479248,
36.10625076,52.98613739,
36.11875153,48.23110199,
36.13125229,47.75138855,
36.14374924,49.63634109,
36.15625,50.62131882,
36.16875076,49.29119492,
36.18125153,50.83663559,
36.19375229,50.39410782,
36.20624924,52.82680893,
36.21875,50.70132446,
36.23125076,51.33103943,
36.24375153,47.73390961,
36.25625229,50.39787674,
36.26874924,49.07348251,
36.28125,47.06927109,
36.29375076,51.37685013,
36.30625153,47.87575531,
36.31875229,47.49034882,
36.33124924,50.52985382,
36.34375,51.78823471,
36.35625076,49.87179565,
36.36875153,51.40961838,
36.38125229,51.61457443,
36.39374924,51.77458191,
36.40625,49.91110229,
36.41875076,49.14447403,
36.43125153,50.18375397,
36.44375229,51.49330521,
36.45624924,46.56800079,
36.46875,53.9297142,
36.48125076,48.69056702,
36.49375153,49.58466339,
36.50625229,51.23387146,
36.51874924,50,
36.53125,48.52642059,
36.54375076,51.91222763,
36.55625153,47.61904907,
36.56875229,51.56072235,
